Manual,Gender,Speaker,Citation,Text,Partial 
CFM_DC_2020_T.xml,men,Spencer W. Kimball,"""Welfare Services: The Gospel in Action,"" Ensign, Nov. 1977, 78","""In the Church a stewardship is a sacred spiritual or temporal trust for which there is accountability. Because all things belong to the Lord, we are stewards over our bodies, minds, families, and properties. (See Doctrine and Covenants 104:11–15.) A faithful steward is one who exercises righteous dominion, cares for his own, and looks to the poor and needy""",False
CFM_DC_2020_T.xml,men,Ulisses Soares,"""How Can I Understand?"" Ensign, May 2019, 7","""The best teacher is a good role model. Teaching something that we truly live can make a difference in the hearts of those we teach""",False
CFM_DC_2020_T.xml,women,Ann M. Dibb,"""Your Holy Places,"" Ensign, May 2013, 115","""explains how we can receive protection, strength, and peace in unsettling times."" ""we can each find many more places."" ""We might first consider the word place as a physical environment or a geographic location. However, a place can be «a distinct condition, position, or state of mind» [Merriam-Webster.com Dictionary, 'place,' merriam-webster.com]. This means holy places can also include moments in time — moments when the Holy Ghost testifies to us, moments when we feel Heavenly Father's love, or moments when we receive an answer to our prayers. Even more, I believe any have the courage to stand for what is right, especially in situations where no one else is willing to do so, you are creating a holy place""",True
CFM_DC_2020_T.xml,women,Elaine S. Dalton,"""A Return to Virtue,"" Ensign, Nov. 2008, 79","""Virtue is a word we don't hear often in today's society, but the Latin root word virtus means strength. Virtuous women and men possess a quiet dignity and inner strength. They are confident because they are worthy to receive and be guided by the Holy Ghost""",False
CFM_DC_2020_T.xml,women,Jean B. Bingham,"""That Your Joy Might Be Full,"" Ensign, Nov. 2017, 85","""As I have studied the life and teachings of Jesus Christ with more focus and committed «The Living Christ» to memory, my gratitude and love for our Savior have increased. Each sentence of that inspired document contains a sermon and has enhanced my understanding of His divine roles and earthly mission. What I have learned and felt through this period of study and reflection confirms that Jesus truly is the light, the life, and the hope of the world'""",False
CFM_DC_2020_T.xml,women,Julie B. Beck,"""And upon the Handmaids in Those Days Will I Pour Out My Spirit,"" Ensign, May 2010, 11","""The ability to qualify for, receive, and act on personal revelation is the single most important skill that can be acquired in this life""",False
CFM_DC_2020_T.xml,women,Julie B. Beck,"""Why We Are Organized into Quorums and Relief Societies"" [Brigham Young University devotional, Jan. 17, 2012], speeches.byu.edu.","""To organize us under the priesthood and after the pattern of the priesthood."" ""To focus Heavenly Father's sons and daughters on the work of salvation and to engage them in it. Quorums and Relief Societies are an organized discipleship with the responsibility to assist in our Father's work to bring about eternal life for His children."" ""To help bishops wisely manage the Lord's storehouse. The Lord's storehouse includes the time, talents, compassion, materials, and financial means' of the members of the Church [Handbook 2: Administering the Church, 6.1.3, ChurchofJesusChrist.org]. The talents of the Saints are to be used to help care for the poor and the needy and to build the Lord's kingdom."" ""To provide a defense and a refuge for Heavenly Father's children and their families in the latter days."" ""To strengthen and support us in our family roles and responsibilities as sons and daughters of God.""",True
CFM_DC_2020_T.xml,women,Linda S. Reeves,"""Claim the Blessings of Your Covenants,"" Ensign, Nov. 2013, 119–20","""The Lord allows us to be tried and tested, sometimes to our maximum capacity. We have seen the lives of loved ones — and maybe our own — figuratively burned to the ground and have wondered why a loving and caring Heavenly Father would allow such things to happen. But He does not leave us in the ashes; He stands with open arms, eagerly inviting us to come to Him. . . . ¶ He is eager to help us, to comfort us, and to ease our pain as we rely on the power of the Atonement and honor our covenants. The trials and tribulation that we experience may be the very things that guide us to come unto Him and cling to our covenants so that we might return to His presence and receive all that the Father hath""",False
CFM_DC_2020_T.xml,women,Linda S. Reeves,"""Worthy of Our Promised Blessings,"" Ensign, Nov. 2015, 10–11","""I know of nothing that will qualify us for the constant companionship of the Holy Ghost as much as virtue. . . . ¶ When we are involved in watching, reading, or experiencing anything that is below our Heavenly Father's standards, it weakens us. Regardless of our age, if what we look at, read, listen to, or choose to do does not meet the Lord's standards in For the Strength of Youth , turn it off, rip it up, throw it out, and slam the door. . . . . ¶ I believe that if we could daily remember and recognize the depth of that love our Heavenly Father and our Savior have for us, we would be willing to do anything to be back in Their presence again, surrounded by Their love eternally""",False
CFM_DC_2020_T.xml,women,Relief Society Presidency,"Mary Isabella Horne, Elmina S. Taylor, and Serepta M. Heywood, 'To the Presidents and Members of the Relief Society of Salt Lake Stake of Zion, Greeting!' Woman's Exponent, Jan. 15, 1878, 123","""We feel truly thankful that through the blessing of our Heavenly Father, we, His handmaidens are called to be co-laborers with our brethren in building up the kingdom of God upon the earth, in assisting to build Temples, wherein we can receive blessings for time and eternity. In all the ordinances received in the House of the Lord, woman stands beside the man, both for the living and the dead, showing that the man is not without the woman nor the woman without the man in the Lord""",False
CFM_DC_2020_T.xml,women,Ruth Renlund,"The Melchizedek Priesthood: Understanding the Doctrine, Living the Principles [2018], 26","""The term priesthood keys is used in two different ways. The first refers to a specific right or privilege conferred upon all who receive the Aaronic or Melchizedek Priesthood. . . . For instance, Aaronic Priesthood holders receive the keys of the ministering of angels and the keys of the preparatory gospel of repentance and of baptism by immersion for the remission of sins (see Doctrine and Covenants 13:1; 84:26–27). Melchizedek Priesthood holders receive the key of the mysteries of the kingdom, the key of the knowledge of God, and the keys of all the spiritual blessings of the Church (see Doctrine and Covenants 84:19; 107:18). . . . ¶ The second way the term priesthood keys is used refers to leadership. Priesthood leaders receive additional priesthood keys, the right to preside over an organizational division of the Church or a quorum. In this regard, priesthood keys are the authority and power to direct, lead, and govern in the Church""",False
CFM_DC_2020_T.xml,women,Vicki F. Matsumori,"""Helping Others Recognize the Whisperings of the Spirit,"" Ensign, Nov. 2009, 11","""Because the Spirit is often described as a still, small voice, it is . . . important to have a time of quiet in our lives as well. The Lord has counseled us to «be still, and know that I am God» [Psalm 46:10]. If we provide a still and quiet time each day when we are not bombarded by television, computer, video games, or personal electronic devices, we allow that still, small voice an opportunity to provide personal revelation and to whisper sweet guidance, reassurance, and comfort to us""",False
CFM_DC_2020_T.xml,women,Virginia H. Pearce,"""Prayer: A Small and Simple Thing,"" At the Pulpit [2017], 288–89","""After ten years of increased temple attendance and constant prayer, I am sorry to say that my children's choices have not changed. . . . ¶ But I have. I am a different woman. . . . I have given up my time limits and am able to wait on the Lord. . . . My expectations have changed. Instead of expecting my children to change, I expect these frequent tender mercies and am full of gratitude for them. . . . The Lord works in marvelous ways, and I truly am filled with the peace that passeth all understanding""",False
CFM_DC_2020_T.xml,supp,Gospel Topics,"'Joseph Smith's Teachings about Priesthood, Temple, Women,' topics.ChurchofJesusChrist.org","""Men are ordained to priesthood offices, while both women and men are invited to experience the power and blessings of the priesthood in their lives. . . . ¶ . . . [Women] preach and pray in congregations, fill numerous positions of leadership and service, participate in priesthood councils at the local and general levels, and serve formal proselytizing missions across the globe. In these and other ways, women exercise priesthood authority even though they are not ordained to priesthood office. . . . ¶ . . . In ecclesiastical callings, temple ordinances, family relationships, and quiet, individual ministry, Latter-day Saint women and men go forward with priesthood power and authority. This interdependence of men and women in accomplishing God's work through His power is central to the gospel of Jesus Christ""",False
CFM_DC_2020_T.xml,supp,Teaching in the Savior's Way,11,"""Your simple, sincere witness of spiritual truth can have a powerful influence on those you teach. . . . It need not be eloquent or lengthy""",False
CFM_DC_2020_T.xml,supp,Teaching in the Savior's Way,30,"""Ask questions that require learners to find answers in the scriptures. . . . Help them see that even though the scriptures were written many years ago, they contain the Lord's answers to questions and problems we all face""",False
CFM_DC_2020_T.xml,supp,Teaching in the Savior's Way,15,"""Help your class members understand that each of them affects the spirit of the class. Encourage them to help you establish an open, loving, and respectful environment so that everyone feels safe sharing their experiences, questions, and testimonies""",False
CFM_DC_2020_T.xml,supp,Teaching in the Savior's Way,7,"""There is much to discuss in each lesson, but it is not necessary to cover everything in one class period in order to touch someone's heart — often one or two key points are enough""",False
CFM_DC_2020_T.xml,supp,Teaching in the Savior's Way,35,"""Rather than always extending invitations to do something specific, consider inviting learners to think of their own ways to apply what they have learned""",False
CFM_DC_2020_T.xml,supp,Teaching in the Savior's Way,20,"""Continually ask yourself, «How will what I am teaching help my class members build faith in Christ, repent, make and keep covenants with God, and receive the Holy Ghost?»""",False
CFM_DC_2020_T.xml,supp,Teaching in the Savior's Way,14,"""In your efforts to live and teach more like the Savior, you will inevitably fall short at times. Do not become discouraged; rather, let your mistakes and weaknesses turn you to Heavenly Father and the Savior""",False
CFM_DC_2020_T.xml,supp,Teaching in the Savior's Way,5,"""Each individual in your class is a rich source of testimony, insights, and experiences with living the gospel. Invite them to share with and lift each other""",False
CFM_DC_2020_T.xml,supp,Teaching in the Savior's Way,20,"""Continually ask yourself, «How will what I am teaching help my class members build faith in Christ, repent, make and keep covenants with God, and receive the Holy Ghost?»""",False
CFM_DC_2020_T.xml,supp,Teaching in the Savior's Way,7,"""Let your understanding of the people you teach guide your [preparation]. . . . Christlike teachers are not committed to a particular style or method; they are committed to helping people build faith in Jesus Christ""",False
CFM_DC_2020_T.xml,supp,Teaching in the Savior's Way,6,"""Depending on your circumstances, expressing love to those you teach may mean giving them sincere compliments, taking an interest in their lives, listening carefully to them, involving them in the lesson, performing acts of service for them, or simply greeting them warmly when you see them""",False
CFM_DC_2020_T.xml,supp,Teaching in the Savior's Way,8–9,"""Because the home is the center of gospel living and learning, your efforts to strengthen a class member will be most effective when you work together with [his or her]. . . family members""",False
CFM_DC_2020_T.xml,supp,Teaching in the Savior's Way,5,"""Each individual in your class is a rich source of testimony, insights, and experiences with living the gospel. Invite them to share with and lift each other""",False
CFM_DC_2020_T.xml,supp,Teaching in the Savior's Way,10,"""The ultimate purpose of everything a gospel teacher does every question, every scripture, every activity is to invite the Spirit to build faith and to invite all to come unto Christ. . . . Sacred music, the scriptures, words of latter-day prophets, expressions of love and testimony, and moments of quiet contemplation can all invite the presence of the Spirit""",False
CFM_DC_2020_T.xml,supp,Teaching in the Savior's Way,6,"""The way you treat people is just as important as what you teach them. Sometimes our preoccupation with presenting a lesson can prevent us from expressing our love for those we teach. . . . Consider how you could focus on what matters most""",False
CFM_DC_2020_T.xml,supp,Teaching in the Savior's Way,24,"""It may be appropriate to invite learners to help each other find answers to their questions. When prompted by the Spirit, you may decide to do this even if you feel that you know the answer""",False
CFM_DC_2020_T.xml,supp,Teaching in the Savior's Way,15,"""Encourage [class members] to help you establish an open, loving, and respectful environment so that everyone feels safe sharing their experiences, questions, and testimonies""",False
CFM_DC_2020_T.xml,supp,Teaching in the Savior's Way,20,"""If [class members] understand Heavenly Father's eternal plan for the happiness of His children, the reasons for gospel principles and commandments become clearer and the motivation to obey increases""",False
CFM_DC_2020_T.xml,supp,Teaching in the Savior's Way,21,"""The scriptures and words of latter-day prophets and apostles are the source of the truths we teach. At every opportunity, inspire those you teach to turn to the word of God for guidance""",False
CFM_DC_2020_T.xml,supp,Teaching in the Savior's Way,12,"""Powerful gospel teaching means not just preparing a lesson but preparing ourselves. . . . Effective gospel teachers — before they think about filling class time — focus on filling their hearts with the Holy Ghost""",False
CFM_NT_2019_T.xml,men,Boyd K. Packer,"""Prayer and Promptings,"" Ensign, Nov. 2009, 45","""Our little boy said our prayer. After he had asked Heavenly Father to «bless Daddy in his travels and bless us all,» he then started an earnest plea. He said, «Heavenly Father, please bless Bossy cow so that she will get to be all right.» ¶ In California, I told of the incident and said, 'He must learn that we do not get everything we pray for just that easily. ¶ There was a lesson to be learned, but it was I who learned it, not my son. When I returned Sunday night, Bossy had «got to be all right»""",False
CFM_NT_2019_T.xml,men,Boyd K. Packer,"""The Cloven Tongues of Fire,"" Ensign, May 2000, 7","""A merchant man seeking precious jewels found at last the perfect pearl. He had the finest craftsman carve a superb jewel box and line it with blue velvet. He put his pearl of great price on display so others could share his treasure. He watched as people came to see it. Soon he turned away in sorrow. It was the box they admired, not the pearl""",False
CFM_NT_2019_T.xml,men,D. Todd Christofferson,"""Born Again,"" Ensign, May 2008, 78","""You may ask, Why doesn't this mighty change happen more quickly with me? You should remember that the remarkable examples of King Benjamin's people, Alma, and some others in scripture are just that — remarkable and not typical. For most of us, the changes are more gradual and occur over time. Being born again, unlike our physical birth, is more a process than an event. And engaging in that process is the central purpose of mortality""",False
CFM_NT_2019_T.xml,men,D. Todd Christofferson,"""The Resurrection of Jesus Christ,"" Ensign, May 2014, 113","""Consider for a moment the significance of the Resurrection in resolving once and for all the true identity of Jesus of Nazareth and the great philosophical contests and questions of life. If Jesus was in fact literally resurrected, it necessarily follows that He is a divine being. No mere mortal has the power in himself to come to life again after dying. Because He was resurrected, Jesus cannot have been only a carpenter, a teacher, a rabbi, or a prophet. Because He was resurrected, Jesus had to have been a God, even the Only Begotten Son of the Father. ¶ Therefore, what He taught is true; God cannot lie. ¶ Therefore, He was the Creator of the earth, as He said. ¶ Therefore, heaven and hell are real, as He taught. ¶ Therefore, there is a world of spirits, which He visited after His death. ¶ Therefore, He will come again, as the angels said, and «reign personally upon the earth.» ¶ Therefore, there is a resurrection and a final judgment for all""",False
CFM_NT_2019_T.xml,men,D. Todd Christofferson,"""The Redemption of the Dead and the Testimony of Jesus,"" Ensign, Nov. 2000, 9–10","""Christian theologians have long wrestled with the question, What is the destiny of the countless billions who have lived and died with no knowledge of Jesus? With the Restoration of the gospel of Jesus Christ has come the understanding of how the unbaptized dead are redeemed and how God can be «a perfect, just God, and a merciful God also» [Alma 42:15]. ¶ While yet in life, Jesus prophesied that He would also preach to the dead [see John 5:25]. Peter tells us this happened in the interval between the Savior's Crucifixion and Resurrection [see 1 Peter 3:18–19]. President Joseph F. Smith witnessed in vision that the Savior visited the spirit world [see D&C 138:30, 33]. . . . ¶ Our anxiety to redeem the dead, and the time and resources we put behind that commitment, are, above all, an expression of our witness concerning Jesus Christ. It constitutes as powerful a statement as we can make concerning His divine character and mission. It testifies, first, of Christ's Resurrection; second, of the infinite reach of His Atonement; third, that He is the sole source of salvation; fourth, that He has established the conditions for salvation; and, fifth, that He will come again""",False
CFM_NT_2019_T.xml,men,Dale G. Renlund,"""Our Good Shepherd,"" Ensign, May 2017, 31","""The message for us is clear: a repenting sinner draws closer to God than does the self-righteous person who condemns that sinner""",False
CFM_NT_2019_T.xml,men,Dallin H. Oaks,"""Have You Been Saved?"" Ensign, May 1998, 56","""We were born again when we entered into a covenant relationship with our Savior by being born of water and of the Spirit and by taking upon us the name of Jesus Christ. We can renew that rebirth each Sabbath when we partake of the sacrament. ¶ Latter-day Saints affirm that those who have been born again in this way are spiritually begotten sons and daughters of Jesus Christ (see Mosiah 5:7; 15:9–13; 27:25). Nevertheless, in order to realize the intended blessings of this born-again status, we must still keep our covenants and endure to the end. In the meantime, through the grace of God, we have been born again as new creatures with new spiritual parentage and the prospects of a glorious inheritance""",False
CFM_NT_2019_T.xml,men,Dallin H. Oaks,"""Our Strengths Can Become Our Downfall,"" Ensign, Oct. 1994, 13–14","""We should study things out in our minds, using the reasoning powers our Creator has placed within us. Then we should pray for guidance and act upon it if we receive it. If we do not receive guidance, we should act upon our best judgment""",False
CFM_NT_2019_T.xml,men,Dallin H. Oaks,"""Be Wise"" [Brigham Young University — Idaho devotional, Nov. 7, 2006], byui.edu","""Be careful how you characterize yourself. Don't characterize or define yourself by some temporary quality. The only single quality that should characterize us is that we are a son or daughter of God. That fact transcends all other characteristics, including race, occupation, physical characteristics, honors, or even religious affiliation. . . . ¶ We have our agency, and we can choose any characteristic to define us. But we need to know that when we choose to define ourselves or to present ourselves by some characteristic that is temporary or trivial in eternal terms, we de-emphasize what is most important about us, and we overemphasize what is relatively unimportant. This can lead us down the wrong path and hinder our eternal progress""",False
CFM_NT_2019_T.xml,men,Dallin H. Oaks,"""The Challenge to Become,"" Ensign, Nov. 2000, 32","""A wealthy father knew that if he were to bestow his wealth upon a child who had not yet developed the needed wisdom and stature, the inheritance would probably be wasted. The father said to his child: ¶ «All that I have I desire to give you—not only my wealth, but also my position and standing among men. That which I have I can easily give you, but that which I am you must obtain for yourself. You will qualify for your inheritance by learning what I have learned and by living as I have lived. I will give you the laws and principles by which I have acquired my wisdom and stature. Follow my example, mastering as I have mastered, and you will become as I am, and all that I have will be yours»""",False
CFM_NT_2019_T.xml,men,Dan Dipty,"""My Journey as a Pioneer from India,"" Ensign, July 2016, 67","""As a child I attended the German Lutheran church regularly. We would go to the mountains to pray together often. One rainy day, everyone in the prayer group was drenched, and one of the preachers offered a fervent prayer pleading with the Lord to stop the rain. To our amazement the rain stopped. That was the beginning of my faith in God and prayer""",False
CFM_NT_2019_T.xml,men,David A. Bednar,"""Seek Learning by Faith,"" Ensign, Sept. 2007, 67","""I have observed a common characteristic among the instructors who have had the greatest influence in my life. They have helped me to seek learning by faith. They refused to give me easy answers to hard questions. In fact, they did not give me any answers at all. Rather, they pointed the way and helped me take the steps to find my own answers. . . . An answer given by another person usually is not remembered for very long, if remembered at all. But an answer we discover or obtain through the exercise of faith, typically, is retained for a lifetime. . . . Only in this way can a person move beyond relying upon the spiritual knowledge and experience of others and claim those blessings for himself or herself""",False
CFM_NT_2019_T.xml,men,David A. Bednar,"""Ye Must Be Born Again,"" Ensign, May 2007, 20","""Conversion . . . is mighty, not minor — a spiritual rebirth and fundamental change of what we feel and desire, what we think and do, and what we are. Indeed, the essence of the gospel of Jesus Christ entails a fundamental and permanent change in our very nature made possible through our reliance upon «the merits, and mercy, and grace of the Holy Messiah» (2 Nephi 2:8). As we choose to follow the Master, we choose to be changed — to be spiritually reborn""",False
CFM_NT_2019_T.xml,men,David A. Bednar,"""Converted unto the Lord,"" Ensign, Nov. 2012, 109","""Consider the oil to be the oil of conversion [see Matthew 25:4–9]. . . . ¶ Were the five wise virgins selfish and unwilling to share, or were they indicating correctly that the oil of conversion cannot be borrowed? Can the spiritual strength that results from consistent obedience to the commandments be given to another person? Can the knowledge obtained through diligent study and pondering of the scriptures be conveyed to one who is in need? Can the peace the gospel brings to a faithful Latter-day Saint be transferred to an individual experiencing adversity or great challenge? The clear answer to each of these questions is no. ¶ As the wise virgins emphasized properly, each of us must «buy for ourselves.» These inspired women were not describing a business transaction; rather, they were emphasizing our individual responsibility to keep our lamp of testimony burning and to obtain an ample supply of the oil of conversion. This precious oil is acquired one drop at a time — line upon line [and] precept upon precept' (2 Nephi 28:30), patiently and persistently""",False
CFM_NT_2019_T.xml,men,David A. Bednar,"""Line upon Line, Precept upon Precept,"" New Era, Sept. 2010, 3–4","""Many of us typically assume we will receive an answer or a prompting to our earnest prayers and pleadings. And we also frequently expect that such an answer or a prompting will come immediately and all at once . Thus, we tend to believe the Lord will give us a big answer quickly and all at one time. However, the pattern repeatedly described in the scriptures suggests we receive «line upon line, precept upon precept,» or in other words, many small answers over a period of time. Recognizing and understanding this pattern is an important key to obtaining inspiration and help from the Holy Ghost""",False
CFM_NT_2019_T.xml,men,David A. Bednar,"""We Believe in Being Chaste,"" Ensign, May 2013, 42","""[Sexual] relations are not merely a curiosity to be explored, an appetite to be satisfied, or a type of recreation or entertainment to be pursued selfishly. They are not a conquest to be achieved or simply an act to be performed. Rather, they are in mortality one of the ultimate expressions of our divine nature and potential and a way of strengthening emotional and spiritual bonds between husband and wife. We are agents blessed with moral agency and are defined by our divine heritage as children of God — and not by sexual behaviors, contemporary attitudes, or secular philosophies""",False
CFM_NT_2019_T.xml,men,David A. Bednar,"""Always Retain a Remission of Your Sins,"" Ensign, May 2016, 60","""authorized channels through which the blessings and powers of heaven can flow into our individual lives""",False
CFM_NT_2019_T.xml,men,David O. McKay,"Teachings of Presidents of the Church: David O. McKay [2003], 82","""Every temptation that comes to you and me comes in one of three forms:  ¶ (1) A temptation of the appetite or passion; ¶ (2) A yielding to pride, fashion, or vanity; ¶ (3) A desire for worldly riches or power and dominion over lands or earthly possessions of men""",False
CFM_NT_2019_T.xml,men,David O. McKay,"Conference Report, Oct. 1956, 7","""Make not my Father's house an house of merchandise.' (John 2:16.) Making and spending money, . . . faultfinding, and particularly gossiping about neighbors in a house of worship, are essentially violations of this command given nearly two thousand years ago""",False
CFM_NT_2019_T.xml,men,David O. McKay,"""The Gospel of Work,"" Instructor, Jan. 1955, 1","""Fortunately, one with presence of mind and quick action, jerked a long stick from a willow fence and held one end of it toward the drowning lad [who] grasped it, held on tightly and was saved. ¶ All the boys declared that the venturesome lad owed his life to the boy who furnished the means of rescue. ¶ This is undoubtedly the fact; and yet in spite of the means furnished him, if the lad had not taken advantage of it, if he had not put forth all the personal effort at his command, he would have drowned, notwithstanding the heroic act of his comrade""",False
CFM_NT_2019_T.xml,men,Dieter F. Uchtdorf,"""Continue in Patience,"" Ensign, May 2010, 58","""Every one of us is called to wait in our own way. We wait for answers to prayers. We wait for things which at the time may appear so right and so good to us that we can't possibly imagine why Heavenly Father would delay the answer. ¶ I remember when I was preparing to be trained as a fighter pilot. We spent a great deal of our preliminary military training in physical exercise. . . . We ran and we ran and we ran some more. ¶ As I was running I began to notice something that, frankly, troubled me. Time and again I was being passed by men who smoked, drank, and did all manner of things that were contrary to the gospel and, in particular, to the Word of Wisdom. ¶ I remember thinking, «Wait a minute! Aren't I supposed to be able to run and not be weary?» But I was weary, and I was overtaken by people who were definitely not following the Word of Wisdom. I confess, it troubled me at the time. I asked myself, was the promise true or was it not? ¶ The answer didn't come immediately. But eventually I learned that God's promises are not always fulfilled as quickly as or in the way we might hope; they come according to His timing and in His ways. Years later I could see clear evidence of the temporal blessings that come to those who obey the Word of Wisdom — in addition to the spiritual blessings that come immediately from obedience to any of God's laws""",False
CFM_NT_2019_T.xml,men,Dieter F. Uchtdorf,"""The Gift of Grace,"" Ensign, May 2015, 108","""If salvation means only erasing our mistakes and sins, then salvation — as wonderful as it is — does not fulfill the Father's aspirations for us. His aim is much higher: He wants His sons and daughters to become like Him""",False
CFM_NT_2019_T.xml,men,Dieter F. Uchtdorf,"""Waiting on the Road to Damascus,"" Ensign, May 2011, 75","""strive to be among those whom the Lord can rely on to hear His whisperings and respond, as Saul did on his road to Damascus, «Lord, what wilt thou have me to do?»""",False
CFM_NT_2019_T.xml,men,Dieter F. Uchtdorf,"""The Gift of Grace,"" Ensign, May 2015, 109–10","""Salvation cannot be bought with the currency of obedience; it is purchased by the blood of the Son of God [see Acts 20:28]. . . . ¶ Grace is a gift of God, and our desire to be obedient to each of God's commandments is the reaching out of our mortal hand to receive this sacred gift from our Heavenly Father""",False
CFM_NT_2019_T.xml,men,Dieter F. Uchtdorf,"""The Gift of Grace,"" Ensign, May 2015, 109","""If grace is a gift of God, why then is obedience to God's commandments so important? Why bother with God's commandments — or repentance, for that matter?. . . ¶ Our obedience to God's commandments comes as a natural outgrowth of our endless love and gratitude for the goodness of God. This form of genuine love and gratitude will miraculously merge our works with God's grace""",False
CFM_NT_2019_T.xml,men,Dieter F. Uchtdorf,"""The Merciful Obtain Mercy,"" Ensign, May 2012, 75","""This topic of judging others could actually be taught in a two-word sermon. When it comes to hating, gossiping, ignoring, ridiculing, holding grudges, or wanting to cause harm, please apply the following: ¶ Stop it! ¶ It's that simple. We simply have to stop judging others and replace judgmental thoughts and feelings with a heart full of love for God and His children. God is our Father. We are His children. We are all brothers and sisters. . . . A bumper sticker I recently saw. . . was attached to the back of a car whose driver appeared to be a little rough around the edges, but the words on the sticker taught an insightful lesson. It read, «Don't judge me because I sin differently than you»""",False
CFM_NT_2019_T.xml,men,Dieter F. Uchtdorf,"""You Can Do It Now!"" Ensign, Nov. 2013, 56","""Godly sorrow inspires change and hope through the Atonement of Jesus Christ. Worldly sorrow pulls us down, extinguishes hope, and persuades us to give in to further temptation. ¶ Godly sorrow leads to conversion and a change of heart. It causes us to hate sin and love goodness. It encourages us to stand up and walk in the light of Christ's love. True repentance is about transformation, not torture or torment""",False
CFM_NT_2019_T.xml,men,Dieter F. Uchtdorf,"""It Works Wonderfully!"" Ensign, Nov. 2015, 22","""Brothers and sisters, living the gospel doesn't need to be complicated. ¶ It is really straightforward. It could be described like this: ¶ - Hearing the word of God with earnest intent leads us to believe in God and to trust His promises. ¶ - The more we trust God, the more our hearts are filled with love for Him and for each other. ¶  - Because of our love for God, we desire to follow Him and bring our actions in alignment with His word. ¶  - Because we love God, we want to serve Him; we want to bless the lives of others and help the poor and the needy. ¶  - The more we walk in this path of discipleship, the more we desire to learn the word of God. -- ¶ And so it goes, each step leading to the next and filling us with ever-increasing faith, hope, and charity.  ¶ It is beautifully simple, and it works beautifully.  ¶ Brothers and sisters, if you ever think that the gospel isn't working so well for you, I invite you to step back, look at your life from a higher plane, and simplify your approach to discipleship. Focus on the basic doctrines, principles, and applications of the gospel. I promise that God will guide and bless you on your path to a fulfilling life, and the gospel will definitely work better for you""",False
CFM_NT_2019_T.xml,men,Dieter F. Uchtdorf,"""The Just Shall Live by Faith,"" Ensign, Apr. 2017, 4","""There is an old Jewish tale about a soap maker who did not believe in God. One day as he was walking with a rabbi, he said, «There is something I cannot understand. We have had religion for thousands of years. But everywhere you look there is evil, corruption, dishonesty, injustice, pain, hunger, and violence. It appears that religion has not improved the world at all. So I ask you, what good is it?» ¶ The rabbi did not answer for a time but continued walking with the soap maker. Eventually they approached a playground where children, covered in dust, were playing in the dirt. ¶ «There is something I don't understand,» the rabbi said. «Look at those children. We have had soap for thousands of years, and yet those children are filthy. What good is soap?» ¶ The soap maker replied, «But rabbi, it isn't fair to blame soap for these dirty children. Soap has to be used before it can accomplish its purpose.» ¶ The rabbi smiled and said, «Exactly»""",False
CFM_NT_2019_T.xml,men,George Q. Cannon,"Millennial Star, Apr. 23, 1894, 260","""to pray to God to give [us] the gifts that will correct [our] imperfections. . . . They are intended for this purpose. No man ought to say, «Oh, I cannot help this; it is my nature.» He is not justified in it, for the reason that God has promised to give strength to correct these things, and to give gifts that will eradicate them. If a man lack wisdom, it is his duty to ask God for wisdom. The same with everything else""",False
CFM_NT_2019_T.xml,men,Gordon B. Hinckley,"'It's True, Isn't It?' Ensign, July 1993, 2","""He was introduced to me just before he was to return to his native land. We spoke of [gospel truths], and then I said: «Your people are not Christians. What will happen when you return home a Christian and, more particularly, a Mormon Christian?» ¶ His face clouded, and he replied, «My family will be disappointed. They may cast me out and regard me as dead. As for my future and my career, all opportunity may be foreclosed against me.» ¶ I asked, «Are you willing to pay so great a price for the gospel?» ¶ His dark eyes, moistened by tears, shone . . . as he answered, «It's true, isn't it?» ¶ Ashamed at having asked the question, I responded, «Yes, it's true.» ¶ To which he replied, «Then what else matters?»""",False
CFM_NT_2019_T.xml,men,Gordon B. Hinckley,"""God Is at the Helm,"" Ensign, May 1994, 53","""The procedure is peculiar to the Lord's church. There is no seeking for office, no jockeying for position, no campaigning to promote one's virtues. Contrast the Lord's way with the way of the world. The Lord's way is quiet, it is a way of peace, it is without fanfare or monetary costs. It is without egotism or vanity or ambition. Under the Lord's plan, those who have responsibility to select officers are governed by one overriding question: «Whom would the Lord have?» There is quiet and thoughtful deliberation. And there is much of prayer to receive the confirmation of the Holy Spirit that the choice is correct""",False
CFM_NT_2019_T.xml,men,Gordon B. Hinckley,"""God Is at the Helm,"" Ensign, May 1994, 54, 59","""At the outset in considering matters, there may be differences of opinion. These are to be expected. These men come from different backgrounds. They are men who think for themselves. . . . ¶ . . . Out of this very process of men speaking their minds has come a sifting and winnowing of ideas and concepts. But I have never observed serious discord or personal enmity among my Brethren. I have, rather, observed a beautiful and remarkable thing — the coming together, under the directing influence of the Holy Spirit and under the power of revelation, of divergent views until there is total harmony and full agreement. Only then is implementation made. That, I testify, represents the spirit of revelation manifested again and again in directing this the Lord's work""",False
